u,g,r,i,z,class
18.5455,17.31062,17.108629999999998,17.02382,16.976029999999998,F
20.03854,18.74633,18.76751,18.84009,18.90646,A
19.05784,17.99233,17.61009,17.46888,17.4226,F
24.45477,23.022879999999997,21.36528,19.18371,18.056739999999998,M
24.41474,22.21508,20.66479,18.75489,17.68757,M
17.50467,16.30947,16.5043,16.66092,16.75198,A
17.73697,16.71392,16.37239,16.26556,16.22149,F
16.915329999999997,15.839570000000002,15.418610000000001,15.28408,15.233429999999998,F
18.3551,17.221989999999998,16.81585,16.684520000000003,16.62604,F
16.812620000000003,15.42736,15.260010000000001,15.220329999999999,15.23816,A
19.68556,18.291179999999997,17.63251,17.34662,17.21507,F
20.35944,19.35249,19.09995,19.29984,18.98545,A
21.53621,20.50374,20.206870000000002,20.012929999999997,19.95845,F
20.87511,19.7087,19.3799,19.24014,19.15172,F
20.6584,19.541339999999998,19.36619,19.28097,19.186989999999998,A
21.15788,20.09879,19.77055,19.594920000000002,19.64118,F
20.74849,19.51975,19.23253,19.187379999999997,19.198970000000003,F
19.32474,18.2069,17.85436,17.73323,17.698079999999997,F
20.87826,19.8857,19.590020000000003,19.45766,19.49222,F
21.02879,19.880979999999997,19.54725,19.42807,19.36275,F
21.22522,20.24442,19.94741,19.82092,20.00936,F
20.15106,19.18372,18.867639999999998,18.75496,18.7114,F
21.02809,19.80077,19.508129999999998,19.40868,19.49671,F
21.30718,20.10409,19.8045,19.7294,20.02099,A
20.60763,19.552310000000002,19.21816,19.06318,19.08201,F
21.87582,20.4893,20.14424,20.016779999999997,20.0351,F
20.54758,19.53865,19.24108,19.11802,19.12119,F
21.80179,20.56356,20.31119,20.12236,19.93925,F
20.47128,19.53143,19.26922,19.16468,19.182920000000003,A
20.548939999999998,19.41263,19.180970000000002,19.09212,19.23986,F
20.73095,19.71676,19.38873,19.21721,19.19521,F
20.85298,19.72179,19.4133,19.3052,19.3239,F
21.44087,20.37995,20.094820000000002,19.88609,19.927670000000003,F
21.51838,20.54801,20.10299,19.941370000000003,19.792379999999998,F
21.47748,20.49653,20.08914,19.9964,19.95446,F
21.770789999999998,20.47841,19.86486,20.16721,19.57432,F
21.0244,20.16554,19.793870000000002,19.63883,19.51083,F
21.69631,20.54366,20.10687,20.016479999999998,20.06465,F
21.783379999999998,20.54485,20.15994,20.009079999999997,20.12076,F
19.8075,18.5037,17.92331,17.68993,17.58049,F
20.58475,19.52947,19.255,19.16863,19.17039,A
19.57714,19.92393,20.3055,20.622629999999997,20.84769,O
18.277820000000002,17.225360000000002,16.87999,16.7393,16.68838,F
20.67349,19.6407,19.39903,19.31863,19.36091,A
19.95216,18.48486,17.91788,17.699189999999998,17.62358,F
21.642129999999998,20.63308,20.253729999999997,20.521320000000003,20.08877,F
21.31229,20.36635,20.07566,19.883779999999998,19.855420000000002,F
21.7064,20.42894,20.063670000000002,19.91552,19.97048,F
21.25225,20.19989,19.840529999999998,19.72043,19.62504,F
20.76426,19.871920000000003,19.53278,19.37906,19.331310000000002,F
21.20198,19.98453,19.62071,19.49168,19.38861,F
21.48995,20.30883,20.04243,19.95019,19.90484,F
19.62889,18.54893,18.1755,17.92355,18.01194,F
21.04968,19.98649,19.693279999999998,19.56458,19.51427,F
21.2644,20.16528,19.93514,19.80076,19.72389,F
20.78085,19.72936,19.39817,19.2454,19.300720000000002,F
21.359360000000002,20.25724,19.89882,19.764770000000002,19.68344,F
20.838929999999998,19.96923,19.60087,19.477929999999997,19.461370000000002,A
21.60877,20.41025,20.0312,19.87154,19.8919,F
20.95412,19.82389,19.548379999999998,19.413420000000002,19.51988,F
20.75858,19.85945,19.57391,19.50272,19.37324,A
21.20338,19.99386,19.64736,19.5371,19.49219,F
21.1205,20.21332,19.884870000000003,19.79477,19.760270000000002,F
20.95189,20.00872,19.748170000000002,19.61494,19.67279,A
19.8726,18.53193,18.044079999999997,17.86372,17.8155,F
20.87035,19.88681,19.60275,19.47426,19.467779999999998,F
20.6973,19.781010000000002,19.45119,19.29554,19.27615,F
20.7376,19.79427,19.50904,19.38114,19.366789999999998,A
21.20291,20.15533,19.855179999999997,19.75937,19.70776,F
20.9691,19.78881,19.432000000000002,19.363039999999998,19.37985,F
21.087870000000002,20.08703,19.73892,19.65162,19.73842,A
20.63597,19.65691,19.319979999999997,19.19837,19.23639,F
20.63571,19.6279,19.333270000000002,19.230729999999998,19.27583,A
21.143,19.99006,19.58823,19.40343,19.40465,F
20.96165,19.819589999999998,19.51691,19.420479999999998,19.36644,F
21.08237,20.12134,19.81053,19.76032,19.687620000000003,F
20.66176,19.70259,19.42475,19.314329999999998,19.30966,A
20.78397,19.91282,19.62144,19.48682,19.40492,A
21.08225,20.079810000000002,19.80207,19.70726,19.59733,F
20.92565,20.07646,19.81575,19.68854,19.72522,A
21.105439999999998,20.112029999999997,19.95554,19.92087,19.792820000000003,A
21.424129999999998,20.27502,19.9038,19.895410000000002,19.797060000000002,F
21.36809,20.39544,20.17229,20.04094,19.84619,F
20.67728,19.85213,19.55953,19.49565,19.59874,F
